"0","7","7","0","0","0"
"12","7","7","0","0","0"
"12","7","7","0","0","0"
"42","7","7","0","0","0"
"47","7","7","0","0","0"
"61","7","7","0","0","0"
"66","7","7","0","0","0"
"69","7","7","0","0","0"
"69","7","7","0","0","0"
"69","7","7","0","0","0"
"79","7","7","0","0","0"
"80","7","7","0","0","0"
"100","7","7","0","0","0"
"103","7","7","0","0","0"
"113","7","7","0","0","0"
"119","7","7","0","0","0"
"154","7","7","0","0","0"
"166","7","7","0","0","0"
"174","7","7","0","0","0"
"210","7","7","0","0","0"
"234","7","7","0","0","0"
"234","7","7","0","0","0"
"242","7","7","0","0","0"
"247","7","7","0","0","0"
"257","7","7","0","0","0"
"263","7","7","0","0","0"
"263","7","7","0","0","0"
"270","7","7","0","0","0"
"270","7","7","0","0","0"
"270","7","7","0","0","0"
"288","7","7","0","0","0"
"295","7","7","0","0","0"
"295","7","7","0","0","0"
"319","7","7","0","0","0"
"321","7","7","0","0","0"
"323","7","7","0","0","0"
"335","7","7","0","0","0"
"347","7","7","0","0","0"
"347","7","7","0","0","0"
"351","7","7","2","3.0","4"
"371","7","7","2","3.0","4"
"371","7","7","2","3.0","4"
"392","7","7","2","3.0","4"
"392","7","7","3","2.6666666666666665","4"
"394","7","7","3","2.6666666666666665","4"
"424","7","7","4","2.5","4"
"436","7","7","4","2.5","4"
"439","7","7","5","2.4","3"
"454","7","7","6","2.3333333333333335","3"
"454","7","7","8","2.5","4"
"454","7","7","8","2.5","4"
"454","7","7","7","2.5714285714285716","4"
"479","7","7","7","2.5714285714285716","4"
"489","7","7","8","2.5","4"
"495","7","7","7","2.7142857142857144","4"
"495","7","7","7","2.7142857142857144","4"
"509","7","7","8","2.75","4"
"515","7","7","8","2.75","4"
"540","7","7","8","2.75","4"
"555","7","7","7","2.857142857142857","4"
"575","7","7","7","3.0","4"
"579","7","7","5","3.0","4"
"585","7","7","5","3.0","4"
"586","7","7","5","3.0","4"
"614","7","7","5","3.0","4"
"614","7","7","6","2.8333333333333335","4"
"638","7","7","6","2.8333333333333335","4"
"654","7","7","7","3.142857142857143","5"
"654","7","7","8","3.25","5"
"689","7","7","9","3.111111111111111","5"
"689","7","7","8","3.125","5"
"705","7","7","8","2.875","5"
"713","7","7","8","2.875","5"
"713","7","7","8","2.875","5"
"755","7","7","8","3.0","5"
"775","7","7","8","3.0","5"
"779","7","7","7","3.142857142857143","5"
"779","7","7","6","3.3333333333333335","5"
"809","7","7","6","3.1666666666666665","5"
"818","7","7","6","3.3333333333333335","6"
"830","7","7","5","3.6","6"
"830","7","7","5","3.6","6"
"848","7","7","5","3.4","5"
"848","7","7","5","3.4","5"
"876","7","7","4","3.75","5"
"885","7","7","6","3.5","5"
"921","7","7","5","3.8","5"
"926","7","7","5","3.4","5"
"926","7","7","5","3.4","5"
"944","7","7","5","3.4","5"
"944","7","7","5","3.4","5"
"944","7","7","6","3.5","5"
"950","7","7","6","4.5","6"
"956","7","7","4","5.25","6"
"971","7","7","4","4.0","6"
"971","7","7","4","4.0","6"
"975","7","7","6","2.5","3"
"993","7","7","7","2.4285714285714284","3"
"993","7","7","7","2.4285714285714284","3"
"996","7","7","5","2.4","3"
"1000","7","7","3","2.3333333333333335","3"
"1008","7","7","3","2.3333333333333335","3"
"1050","7","7","3","2.3333333333333335","3"
"1065","7","7","1","2.0","2"
"1077","7","7","1","2.0","2"
"1107","7","7","1","2.0","2"
"1131","7","7","0","0","0"
"1143","7","7","0","0","0"
"1147","7","7","0","0","0"
"1168","7","7","0","0","0"
"1174","7","7","0","0","0"
